新闻标题,发布日期,发稿单位,网页链接
祝全体东财人劳动节快乐！,2026-05-01,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_98270.html
东北财经大学党外代表人士能力提升专题培训班圆满举办,2026-04-29,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_98183.html
东北财经大学青年教师马军荣获2026年度新时代青年先锋奖,2026-04-29,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_98125.html
五秩风华归财园 初心如磐忆芳华——东北财经大学会计学院1973级工业会计专业校友毕业50周年重返母校相聚,2026-04-29,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_98055.html
东北财经大学举办“金融强国建设之金融再定位：学科与行业发展趋势”专题讲座,2026-04-27,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_97969.html
中华文明与道德经济系列研讨会之五“中华文明国际传播与企业出海”研讨会成功举办,2026-04-27,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_97970.html
东北财经大学召开2026年就业工作会议,2026-04-27,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_97968.html
东北财经大学党委树立和践行正确政绩观学习教育第2期读书班暨党委理论学习中心组集体学习会举行,2026-04-24,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_97868.html
共筑平安校园，守护生命之花——东北财经大学举办2026年春季消防安全培训及演练活动,2026-04-23,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_97833.html
东北财经大学“就业指导周”活动成功举办,2026-04-23,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_97832.html
东北财经大学举办“纽澳阳光—砺商基金”捐赠签约仪式,2026-04-23,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_97829.html
东北财经大学2026年“全民阅读活动周”启动暨“书香学院”等奖项颁奖仪式成功举办,2026-04-22,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_97764.html
东北财经大学举办春季攻坚促就业行动之2026届毕业生春季就业与2027届毕业生就业实习“双向选择”洽谈会,2026-04-22,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_97754.html
